Tahun,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025
d. Pendapatan Badan Layanan Umum,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,"5,890.90","8,369.50",142.08,"9,486.90","10,590.80",111.64,"15,416.00","20,104.00",130.41,"20,408.00","21,704.30",106.35,"23,498.70","24,648.20",104.89,"20,863.40","29,681.00",142.26,"23,090.20","35,315.50",152.95,"36,271.20","41,945.90",115.65,"38,541.40","47,345.40",122.84,"43,304.60","55,093.10",127.22,"47,884.50","48,900.00",102.12,"50,000.30","69,308.30",138.62,"58,790.10","126,002.80",214.33,"105,801.10","89,902.30",84.97,"83,016.40","95,860.40",115.47,"80,430.96","100,303.51",124.71,"77,929.47"
e. Surplus Bank Indonesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"456,355.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
II. Penerimaan Hibah,7455.10,1304.80,17.50,4232.90,1834.10,43.33,3823.30,1697.70,44.4,"2,948.60","2,304.00",78.14,"1,006.50","1,666.60",165.58,"1,896.50","3,023.00",159.4,"4,662.10","5,253.90",112.69,825.1,"5,786.70",701.33,"4,483.60","6,832.50",152.39,"2,325.10","5,034.50",216.53,"3,311.90","11,973.00",361.51,"1,975.20","8,987.70",455.03,"3,108.10","11,629.80",374.18,"1,196.90","15,564.90","1,300.43",435.3,"5,500.00","1,263.50","1,300.00","18,832.80","1,448.68",902.8,"5,013.00",555.27,579.9,"5,696.10",982.26,409.4,"17,184.20","4,197.41","34,923.60","30,290.92",86.73,581.1
B. Belanja Negara,411667.60,361155.20,87.73,478249.30,440032.10,92.01,498172.10,504623.30,101.29,"697,071.00","693,355.90",99.47,"691,535.70","628,812.40",90.93,"781,533.50","697,406.40",89.24,"908,243.40","883,721.90",97.3,"1,069,534.40","1,010,558.20",94.49,"1,196,828.40","1,137,162.90",95.01,"1,280,368.60","1,203,577.20",94,"1,319,549.00","1,183,303.70",89.67,"1,306,696.00","1,154,018.20",88.32,"1,366,956.60","1,265,359.40",92.57,"1,454,494.40","1,455,324.80",100.06,"1,634,339.50","1,496,313.90",91.55,"1,975,240.20","1,832,950.90",92.8,"1,954,548.50","2,000,703.80",102.36,"2,301,644.90","2,280,027.90",99.06,"2,246,457.80","3,121,217.20",138.94,"3,343,494.34","3,350,273.78",100.2,"3,621,313.73"
I. Belanja Pemerintah Pusat,411667.60,361155.20,87.73,478249.30,440032.10,92.01,498172.10,504623.30,101.29,"697,071.00","693,355.90",99.47,"691,535.70","628,812.40",90.93,"781,533.50","697,406.40",89.24,"908,243.40","883,721.90",97.3,"1,069,534.40","1,010,558.20",94.49,"1,196,828.40","1,137,162.90",95.01,"1,280,368.60","1,203,577.20",94,"1,319,549.00","1,183,303.70",89.67,"1,306,696.00","1,154,018.20",88.32,"1,366,956.60","1,265,359.40",92.57,"1,454,494.40","1,455,324.80",100.06,"1,634,339.50","1,496,313.90",91.55,"1,975,240.20","1,832,950.90",92.8,"1,954,548.50","2,000,703.80",102.36,"2,301,644.90","2,280,027.90",99.06,"2,246,457.80","2,239,786.70",99.7,"2,485,902.60","2,486,733.40",100.03,"2,701,441.62"
1. Belanja Pegawai,61167.20,54254.20,88.70,79075.30,73252.30,92.64,92843.60,90424.90,97.39,"123,542.00","112,829.90",91.33,"133,709.20","127,669.70",95.48,"162,659.00","148,078.10",91.04,"182,875.00","175,737.90",96.1,"212,255.10","197,863.60",93.22,"232,978.60","221,688.80",95.15,"258,435.60","243,719.90",94.31,"299,299.60","281,142.70",93.93,"342,447.40","305,141.50",89.11,"343,655.50","312,728.80",91,"365,691.60","346,890.80",94.86,"381,561.10","376,074.30",98.56,"403,722.70","380,532.20",94.26,"421,143.70","387,752.50",92.07,"426,523.30","402,441.70",94.35,"442,539.40","412,711.30",93.26,"484,430.93","464,528.90",95.89,"521,451.30"
2. Belanja Barang,42311.80,29171.70,68.94,55991.70,47181.90,84.27,65260.40,54511.40,83.53,"67,476.20","55,963.50",82.94,"85,464.00","80,667.90",94.39,"112,594.10","97,596.80",86.68,"142,825.90","124,639.50",87.27,"162,012.30","140,884.90",86.96,"206,507.30","169,722.70",82.19,"195,206.80","176,622.30",90.48,"259,688.00","233,281.10",89.83,"304,241.80","259,646.90",85.34,"296,208.60","291,459.10",98.4,"340,130.20","347,468.30",102.16,"345,230.70","334,418.20",96.87,"273,162.10","422,338.20",154.61,"362,476.20","530,059.30",146.23,"339,731.00","426,149.10",125.44,"376,934.40","432,715.00",114.8,"406,983.77","517,629.00",127.19,"486,851.85"
3. Belanja Modal,54746.60,32888.80,60.07,69779.70,54951.90,78.75,75050.80,64288.70,85.66,"79,126.10","72,772.50",91.97,"73,381.40","75,870.80",103.39,"95,024.60","80,287.10",84.49,"140,952.50","117,854.50",83.61,"176,051.40","145,104.10",82.42,"192,600.40","180,864.20",93.91,"160,790.50","147,347.90",91.64,"252,844.50","215,434.20",85.2,"206,567.40","169,474.20",82.04,"228,100.00","208,656.70",91.48,"203,879.40","184,127.60",90.31,"189,343.20","177,841.50",93.93,"137,383.90","190,919.80",138.97,"246,781.50","239,632.30",97.1,"199,196.60","240,570.30",120.77,"209,190.00","303,041.30",144.86,"247,474.23","352,551.10",142.46,"234,110.30"
4. Subsidi,119089.50,120765.30,101.41,107627.60,107431.80,99.82,105073.40,150214.50,142.96,"234,405.00","275,291.40",117.44,"158,117.90","138,082.20",87.33,"201,263.00","192,707.00",95.75,"237,194.70","295,358.20",124.52,"245,076.30","346,420.40",141.35,"348,119.00","355,045.20",101.99,"403,035.60","391,962.50",97.25,"212,104.40","185,971.10",87.68,"177,754.50","174,226.80",98.02,"168,876.80","166,401.10",98.53,"156,228.10","216,883.30",138.82,"224,320.90","201,802.60",89.96,"192,023.20","196,231.50",102.19,"175,350.40","242,086.80",138.06,"283,661.00","252,812.90",89.13,"298,497.10","269,592.10",90.32,"285,971.98","292,472.78",102.27,"307,931.92"
i. Subsidi Energi,101705.00,104449.20,102.70,95458.10,94605.40,99.11,88048.30,116865.90,132.73,"187,107.80","223,013.20",119.19,"99,938.90","94,585.90",94.64,"143,997.10","139,952.90",97.19,"195,288.70","255,608.80",130.89,"202,353.20","306,478.70",151.46,"299,829.70","309,979.70",103.39,"350,310.50","341,810.40",97.57,"137,824.00","119,091.10",86.41,"94,355.10","106,785.00",113.17,"89,864.00","97,642.10",108.66,"94,525.10","153,522.40",162.41,"159,971.90","136,875.80",85.56,"95,607.40","108,840.50",113.84,"110,512.20","140,395.20",127.04,"208,928.40","171,858.80",82.26,"211,976.10","164,292.30",77.51,"189,104.30","177,615.24",93.92,"203,412.22"
ii. Subsidi Non Energi,17384.50,16316.10,93.85,12169.50,12826.40,105.40,17025.10,33348.60,195.88,"47,297.20","52,278.20",110.53,"58,179.00","43,496.30",74.76,"57,265.90","52,754.10",92.12,"41,906.00","39,749.40",94.85,"42,723.10","39,941.70",93.49,"48,289.30","45,065.50",93.32,"52,725.10","50,152.10",95.12,"74,280.30","66,880.00",90.04,"83,399.40","67,441.90",80.87,"79,012.80","68,759.00",87.02,"61,703.00","63,360.90",102.69,"64,349.00","64,926.80",100.9,"96,415.80","87,390.90",90.64,"64,838.20","101,691.60",156.84,"74,732.60","80,954.10",108.33,"86,521.00","105,299.80",121.7,"96,867.68","114,857.54",118.57,"104,519.70"
5. Belanja Hibah,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,31.6,0,0,243.2,70,28.78,404.9,300.1,74.12,"1,790.90",75.1,4.19,"2,346.50","1,303.00",55.53,"2,853.30",907.5,31.81,"4,644.20","4,261.70",91.76,"8,537.30","7,129.90",83.51,"5,532.20","5,445.70",98.44,"1,460.80","1,520.60",104.09,"1,940.70","6,476.20",333.7,"5,072.10","6,275.90",123.73,"6,781.70","4,319.00",63.69,"4,824.30","5,803.30",120.29,10.1,219.1,"2,169.31",6.6,319.3,"4,837.88",202.7
6. Bantuan Sosial,29996.50,24903.50,83.02,41018.20,40708.60,99.25,50607.60,49756.30,98.32,"59,702.30","57,740.80",96.71,"77,932.50","73,813.60",94.71,"71,172.80","68,611.10",96.4,"81,810.40","71,104.30",86.91,"86,028.00","75,621.10",87.9,"82,487.90","92,136.10",111.7,"96,655.40","97,924.70",101.31,"103,573.60","97,151.20",93.8,"53,403.80","49,613.50",92.9,"58,962.10","55,297.20",93.78,"81,259.80","84,318.40",103.76,"102,055.50","112,480.30",110.21,"174,517.70","202,530.00",116.05,"161,435.50","173,654.10",107.57,"147,431.50","161,523.10",109.56,"148,565.20","156,601.60",105.41,"157,302.98","154,987.30",98.53,"140,058.86"
7. Belanja Lain-lain,43373.70,33972.10,78.32,42262.10,37423.10,88.55,25781.20,15621.20,60.59,"38,025.40","30,328.10",79.76,"53,309.00","38,926.20",73.02,"32,926.70","21,673.00",65.82,"15,596.20","5,465.40",35.04,"68,535.00","4,073.10",5.94,"19,270.80","3,367.50",17.47,"27,938.30","11,651.10",41.7,"31,663.90","10,051.90",31.75,"22,525.50","6,024.00",26.74,"49,874.30","8,802.90",17.65,"67,237.40","16,163.80",24.04,"114,002.30","11,699.70",10.26,"450,574.20","120,035.20",26.64,"207,316.80","79,704.40",38.45,"494,410.20","404,385.80",81.79,"329,321.70","225,023.70",68.33,"406,412.50","215,818.63",53.1,"457,980.40"
II. Transfer Ke Daerah,153402.20,150463.90,98.08,220849.80,226180.00,102.41,254201.00,253263.20,99.63,"292,422.70","292,433.50",100,"309,308.20","308,585.20",99.77,"344,612.90","344,727.60",100.03,"412,507.90","411,324.80",99.71,"478,775.90","480,645.10",100.39,"529,362.90","513,260.40",96.96,"596,504.30","573,703.10",96.18,"664,600.60","623,139.60",93.76,"776,252.90","710,256.90",91.5,"766,339.30","741,992.40",96.82,"766,162.60","757,792.90",98.91,"826,772.50","812,973.40",98.33,"763,925.60","762,530.20",99.82,"795,479.50","785,707.60",98.77,"804,780.50","816,234.80",101.42,"814,718.50","881,430.50",108.19,"857,591.74","863,540.38",100.69,"919,872.11"
a. Dana Bagi Hasil,52566.50,50479.20,96.03,59563.70,64900.30,108.96,62726.30,62942.00,100.34,"77,726.70","78,420.20",100.89,"73,819.50","76,130.00",103.13,"89,618.40","92,183.50",102.86,"96,772.10","96,909.00",100.14,"108,421.70","111,537.20",102.87,"102,695.00","88,463.10",86.14,"117,663.60","103,939.00",88.34,"110,051.90","78,053.40",70.92,"109,075.90","90,534.90",83,"95,377.20","88,232.20",92.51,"89,225.30","93,704.00",105.02,"106,350.20","103,980.00",97.77,"86,418.70","93,906.40",108.66,"101,961.60","117,157.00",114.9,"140,430.40","168,414.10",119.93,"136,260.00","205,666.60",150.94,"143,099.93","153,174.56",107.04,"192,281.74"
b. Dana Alokasi Umum,88765.60,88765.40,100.00,145664.20,145664.20,100.00,164787.40,164787.40,100,"179,507.10","179,507.10",100,"186,414.10","186,414.10",100,"203,606.50","203,571.50",99.98,"225,533.70","225,533.70",100,"273,814.40","273,814.40",100,"311,139.30","311,139.30",100,"341,219.40","341,219.30",100,"352,887.80","352,887.80",100,"385,360.90","385,360.80",100,"398,582.30","398,582.30",100,"401,489.60","401,489.60",100,"417,873.60","420,910.20",100.73,"384,381.50","381,612.50",99.28,"390,291.40","377,791.40",96.8,"378,000.00","378,000.00",100,"396,000.00","398,029.60",100.51,"427,699.30","429,210.61",100.35,"446,633.81"
c. Dana Alokasi Khusus,4827.60,3976.70,82.37,11569.80,11566.10,99.97,17094.10,16237.80,94.99,"21,202.10","20,787.30",98.04,"24,819.60","24,707.40",99.55,"21,138.40","20,956.30",99.14,"25,232.80","24,803.50",98.3,"26,115.90","81,953.10",313.81,"31,697.10","98,709.00",311.41,"33,000.00","110,589.00",335.12,"58,820.70","152,104.70",258.59,"211,022.20","163,869.90",77.66,"184,636.50","167,668.00",90.81,"185,888.10","173,449.60",93.31,"200,368.80","186,394.70",93.03,"182,558.70","176,578.80",96.72,"196,423.50","184,638.30",94,"189,593.80","173,164.60",91.33,"185,797.30","181,357.60",97.61,"188,101.00","183,536.05",97.57,"185,240.95"
d. Dana Otonomi Khusus,7242.50,7242.60,100.00,4052.10,4049.40,99.93,9593.20,9296.00,96.9,"13,986.70","13,718.80",98.08,"24,255.10","21,333.80",87.96,"30,249.60","28,016.30",92.62,"64,969.30","64,078.60",98.63,"70,423.90","11,952.60",16.97,"83,831.50","13,445.60",16.04,"104,097.40","16,148.80",15.51,"121,526.60","17,115.50",14.08,"18,264.40","18,264.40",100,"19,443.30","19,443.30",100,"20,059.60","20,059.60",100,"20,979.90","20,979.90",100,"19,556.70","19,556.70",100,"19,982.90","19,482.90",97.5,"20,436.30","20,436.30",100,"17,241.30","17,241.30",100,"18,271.50","22,642.75",123.92,"20,515.60"
e. Dana Keistimewaan D.I.Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.7,0,523.9,419.1,80,547.5,547.5,100,547.5,547.5,100,800,800,100,"1,000.00","1,000.00",100,"1,200.00","1,200.00",100,"1,320.00","1,320.00",100,"1,320.00","1,320.00",100,"1,320.00","1,320.00",100,"1,420.00","1,372.70",96.67,"1,420.00","1,420.00",100,"1,200.00"
f. Dana Desa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,766.20","20,766.20",100,"46,982.10","46,679.30",99.36,"60,000.00","59,766.60",99.61,"60,000.00","59,859.40",99.77,"70,000.00","69,814.10",99.73,"71,190.00","71,100.50",99.87,"72,000.00","71,853.70",99.8,"68,000.00","67,906.10",99.86,"70,000.00","69,856.80",99.8,"71,000.00","70,925.93",99.9,"71,000.00"
g. Insentif Fiskal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,387.80",0,0,"1,387.80",0,0,"1,387.80",0,0,"1,664.50",0,"5,000.00","5,000.00",100,"7,500.00","7,500.00",100,"8,500.00","8,230.80",96.83,"10,000.00","9,694.40",96.94,"18,500.00","18,455.30",99.76,"13,500.00","13,464.30",99.74,"7,000.00","6,993.70",99.91,"8,000.00","7,906.00",98.83,"8,000.00","7,001.74",87.52,"6,000.00"
C. Keseimbangan Primer,189440.70,199268.60,105.19,263360.60,277037.50,105.19,279470.90,282989.20,101.26,"292,713.60","376,683.30",128.69,"289,053.40","313,732.90",108.54,"316,515.50","386,248.40",122.03,"368,255.00","420,139.70",114.09,"-72,319.90","-52,784.80",0,"-111,668.40","-98,637.10",0,"-106,041.10","-93,250.70",0,"-66,776.10","-142,485.10",0,"-105,505.60","-125,579.60",0,"-178,039.30","-124,407.90",0,"-87,329.50","-11,490.80",0,"-20,114.90","-73,125.10",0,"-700,433.10","-633,609.70",0,"-633,116.70","-431,568.90",0,"-434,359.40","742,157.00",0,"-156,751.40","102,595.00",0,"-43,712.59","-19,369.37",0,"-63,331.74"
D. Surplus/Defisit Anggaran (A - B),128458.50,134069.00,104.37,180865.90,197954.90,109.45,195915.70,203182.80,103.71,"197,919.40","288,253.50",145.64,"179,463.30","219,950.80",122.56,"210,865.20","297,865.10",141.26,"261,671.20","326,877.80",124.92,"-190,105.30","-153,300.80",0,"-224,186.30","-211,672.60",0,"-241,494.30","-226,692.00",0,"-222,506.90","-298,494.80",0,"-296,723.90","-308,340.90",0,"-397,235.80","-340,975.90",0,"-325,936.60","-269,442.90",0,"-296,000.20","-348,646.30",0,"-1,039,217.40","-947,697.80",0,"-1,006,379.50","-775,064.30",0,"-840,226.30","355,815.20",0,"-598,151.40","-337,287.60",0,"-541,032.19","-507,795.76",0,"-616,186.02"
E. Pembiayaan Anggaran,24943.80,11121.20,44.59,39983.90,29415.60,73.57,58285.30,42456.50,72.84,"94,503.30","84,071.80",88.96,"129,844.90","112,583.30",86.71,"133,747.70","91,552.00",68.45,"150,836.70","130,948.90",86.82,"190,105.30","175,158.20",92.14,"224,186.30","237,394.60",105.89,"241,494.30","248,892.80",103.06,"222,506.90","323,108.00",145.21,"296,723.90","334,503.30",112.73,"397,235.80","366,623.80",92.29,"325,936.60","305,692.60",93.79,"296,000.20","402,051.50",135.83,"1,039,217.40","1,193,293.80",114.83,"1,006,379.50","871,723.20",86.62,"840,226.30","590,978.10",70.34,"598,151.40","356,663.80",59.63,"541,032.19","553,184.94",102.25,"616,186.06"
F. Kelebihan/(Kekurangan) Pembiayaan,0.00,-3287.10,0.00,0.00,273.80,0.00,0.00,-7623.80,0,0,"79,950.40",0,0,"23,964.50",0,0,"44,706.30",0,0,"46,549.40",0,0,"21,857.40",0,0,"25,722.00",0,0,"22,200.90",0,0,"24,613.20",0,0,"26,162.40",0,0,"25,647.90",0,0,"36,249.70",0,0,"53,405.20",0,0,"245,596.00",0,0,"96,658.90",0,0,"130,558.50",0,0,"19,376.20",0,0,"45,389.18",0,0.03