Tahun,FDI,GovExp,IntRate,LFPR,EG,Inflation,Trade
2000,9.20,12.15,12.54,51.80,4.92,20.45,71.44
2001,8.16,12.47,17.60,50.66,3.64,14.30,69.79
2002,8.03,12.32,12.90,50.05,4.50,5.90,59.08
2003,8.60,12.45,8.30,49.28,4.78,5.49,53.62
2004,8.43,12.60,7.40,50.41,5.03,8.55,59.76
2005,9.10,12.80,12.80,47.62,5.69,14.33,63.99
2006,8.70,12.99,9.80,48.63,5.50,14.09,56.66
2007,9.24,13.13,8.00,50.57,6.35,11.26,54.83
2008,9.61,13.45,10.80,49.37,6.01,18.15,58.56
2009,9.29,13.35,6.50,48.05,4.63,8.27,45.51
2010,9.69,13.46,6.60,47.13,6.22,15.26,46.70
2011,9.88,13.69,5.00,46.77,6.17,7.47,50.18
2012,10.11,13.83,4.80,48.07,6.03,3.75,49.58
2013,10.26,13.94,7.20,47.06,5.56,4.97,48.64
2014,10.26,14.00,6.90,45.88,5.01,5.44,48.08
2015,10.28,13.98,7.10,46.30,4.88,3.98,41.94
2016,10.27,13.96,5.90,46.27,5.03,2.44,37.42
2017,10.38,14.05,4.56,46.44,5.07,4.29,39.36
2018,10.29,14.19,5.47,47.61,5.17,3.82,43.07
2019,10.25,14.22,5.75,48.09,5.02,1.60,37.63
2020,10.26,14.42,3.50,47.08,-2.10,-0.40,32.97
2021,10.34,14.83,3.50,44.75,3.70,6.00,40.20
2022,10.73,14.95,4.00,45.29,5.31,9.57,45.46
2023,10.83,14.95,6.00,44.78,5.05,1.53,41.34
2024,11.00,15.02,6.10,44.83,5.03,0.89,42.57