Tahun,PN(m),BN(m),DEF(m),KESPRI(m),RBP,DRP,TXR,CER,RER
2005,495224.2,361155.2,134069,199268.6,0.73,0.27,0.70,0.09,0.48
2006,637987.1,440032.1,197954.9,277037.5,0.69,0.31,0.64,0.12,0.41
2007,707806.1,504623.3,203182.8,282989.2,0.71,0.29,0.69,0.13,0.48
2008,981609.4,693355.9,288253.5,376683.3,0.71,0.29,0.67,0.10,0.56
2009,848763.2,628812.4,219950.8,313732.9,0.74,0.26,0.73,0.12,0.42
2010,995271.5,697406.4,297865.1,386248.4,0.70,0.30,0.73,0.12,0.49
2011,1210599.7,883721.9,326877.8,420139.7,0.73,0.27,0.72,0.13,0.53
2012,1338109.5,1010558.2,-153300.8,-52784.8,0.76,-0.11,0.73,0.14,0.54
2013,1438891.1,1137162.9,-211672.6,-98637.1,0.79,-0.15,0.75,0.16,0.51
2014,1550490.8,1203577.2,-226692,-93250.7,0.78,-0.15,0.74,0.12,0.53
2015,1508020.4,1183303.7,-298494.8,-142485.1,0.78,-0.20,0.82,0.18,0.39
2016,1555934.3,1154018.2,-308340.9,-125579.6,0.74,-0.20,0.83,0.15,0.42
2017,1666375.9,1265359.4,-340975.9,-124407.9,0.76,-0.20,0.81,0.16,0.38
2018,1943674.9,1455324.8,-269442.9,-11490.8,0.75,-0.14,0.78,0.13,0.39
2019,1960641,1496313.9,-348646.3,-73125.1,0.76,-0.18,0.79,0.12,0.39
2020,1647783.3,1832950.9,-947697.8,-633609.7,1.11,-0.58,0.78,0.10,0.31
2021,2011347.1,2000703.8,-775064.3,-431568.9,0.99,-0.39,0.77,0.12,0.31
2022,2635843,2280027.9,355815.2,742157,0.87,0.13,0.77,0.11,0.29
2023,2783929.7,3121217.2,-337287.6,102595,1.12,-0.12,0.77,0.10,0.22
2024,2842478.02,3350273.78,-507795.76,-19369.37,1.18,-0.18,0.79,0.11,0.23