Tahun;Eksp_Netto;Pemb_Bunga;Remitansi;Kurs;Trans_modal;FDI;Portofolio;Derv_Keu;Pinj_LN;Cadev;;;;;;;;;;;;;;;;;;;;
1990;1.784,0;-5.190,0;418,0;1.901,0;0,0;-1.093,0;93,0;0,0;-3.331,7;8.519,9;;;;;;;;;;;;;;;;;;;;
1991;1.059,0;-5.581,0;262,0;1.992,0;0,0;-1.482,0;12,0;0,0;-3.908,5;10.250,3;;;;;;;;;;;;;;;;;;;;
1992;2.313,0;-5.664,0;571,0;2.062,0;0,0;-1.777,0;88,0;0,0;-4.279,2;11.394,4;;;;;;;;;;;;;;;;;;;;
1993;2.344,0;-4.987,0;537,0;2.110,0;0,0;-1.648,0;-1.805,0;0,0;-2.179,0;12.354,2;;;;;;;;;;;;;;;;;;;;
1994;1.282,0;-4.693,0;619,0;2.200,0;0,0;-1.500,0;-3.877,0;0,0;1.538,0;13.199,4;;;;;;;;;;;;;;;;;;;;
1995;-1.538,0;-5.874,0;981,0;2.308,0;0,0;-3.743,0;-4.100,0;0,0;-2.416,0;14.787,4;;;;;;;;;;;;;;;;;;;;
1996;-2.592,0;-6.008,0;937,0;2.383,0;0,0;-5.594,0;-5.005,0;0,0;-248,0;19.280,6;;;;;;;;;;;;;;;;;;;;
1997;409,0;-6.332,0;1.034,0;4.650,0;0,0;-4.499,0;2.632,0;0,0;-554,8;17.396,3;;;;;;;;;;;;;;;;;;;;
1998;10.819,6;-8.189,0;1.466,4;8.025,0;0,0;240,8;1.878,0;0,0;1.732,1;23.516,5;;;;;;;;;;;;;;;;;;;;
1999;12.866,0;-8.996,7;1.913,6;7.085,0;0,0;1.865,6;1.792,4;0,0;915,8;27.257,5;;;;;;;;;;;;;;;;;;;;
2000;14.619,1;-8.443,4;1.816,4;9.595,0;0,0;4.550,4;1.910,7;0,0;309,8;29.267,8;;;;;;;;;;;;;;;;;;;;
2001;12.316,4;-6.935,5;1.520,0;10.400,0;0,0;2.977,4;243,8;0,0;5.751,3;28.018,4;;;;;;;;;;;;;;;;;;;;
2002;13.131,3;-7.047,8;1.740,0;8.940,0;0,0;-145,1;-1.221,8;0,0;3.418,3;32.047,4;;;;;;;;;;;;;;;;;;;;
2003;12.455,5;-6.217,5;1.868,7;8.465,0;0,0;596,9;-2.251,3;0,0;2.015,5;36.253,3;;;;;;;;;;;;;;;;;;;;
2004;11.341,4;-10.917,2;1.138,8;9.290,0;0,0;1.511,9;-4.409,2;0,0;2.052,3;36.303,3;;;;;;;;;;;;;;;;;;;;
2005;8.411,2;-12.926,6;4.793,0;9.830,0;333,9;-5.271,3;-4.189,6;0,0;10.593,5;34.730,8;;;;;;;;;;;;;;;;;;;;
2006;19.786,0;-13.789,6;4.863,1;9.020,0;350,3;-2.188,4;-4.276,6;0,0;11.845,1;42.588,3;;;;;;;;;;;;;;;;;;;;
2007;20.911,7;-15.524,7;5.104,0;9.419,0;546,2;-2.253,3;-5.566,1;0,0;4.774,7;56.924,6;;;;;;;;;;;;;;;;;;;;
2008;9.917,8;-15.155,4;5.363,6;10.950,0;294,5;-3.418,7;-1.764,3;0,0;7.309,2;51.640,6;;;;;;;;;;;;;;;;;;;;
2009;21.191,0;-15.140,1;4.577,6;9.400,0;95,8;-2.628,2;-10.336,2;0,0;8.207,5;66.118,9;;;;;;;;;;;;;;;;;;;;
2010;21.212,1;-20.698,2;4.630,3;8.991,0;49,8;-11.106,3;-13.202,0;94,4;-2.262,2;96.211,0;;;;;;;;;;;;;;;;;;;;
2011;24.021,7;-26.547,2;4.210,5;9.068,0;32,9;-11.528,4;-3.806,4;-69,4;1.800,8;110.136,6;;;;;;;;;;;;;;;;;;;;
2012;-1.884,4;-26.627,8;4.094,4;9.670,0;50,6;-13.716,2;-9.908,3;-13,0;-1.922,4;112.777,4;;;;;;;;;;;;;;;;;;;;
2013;-6.237,1;-27.050,2;4.178,2;12.189,0;45,3;-12.170,1;-10.872,6;334,4;782,7;99.386,8;;;;;;;;;;;;;;;;;;;;
2014;-3.027,1;-29.702,6;5.219,9;12.440,0;26,6;-14.733,2;-26.066,6;155,5;-4.271,8;111.862,6;;;;;;;;;;;;;;;;;;;;
2015;5.351,9;-28.379,1;5.508,5;13.795,0;16,6;-10.704,5;-16.182,7;-20,0;10.064,0;105.928,8;;;;;;;;;;;;;;;;;;;;
2016;8.234,3;-29.647,0;4.460,4;13.436,0;40,7;-16.135,9;-18.995,6;9,0;5.816,8;116.369,6;;;;;;;;;;;;;;;;;;;;
2017;11.434,8;-32.130,6;4.500,2;13.548,0;46,2;-18.502,0;-21.059,0;127,8;10.747,4;130.202,9;;;;;;;;;;;;;;;;;;;;
2018;-6.713,4;-30.815,2;6.895,4;14.481,0;97,2;-12.510,6;-9.311,9;-33,6;-3.265,9;120.654,3;;;;;;;;;;;;;;;;;;;;
2019;-4.133,3;-33.774,7;7.628,9;13.901,0;39,1;-20.531,1;-21.990,3;-186,4;6.144,2;129.183,3;;;;;;;;;;;;;;;;;;;;
2020;18.545,8;-28.910,6;5.931,5;14.105,0;36,9;-14.142,5;-3.368,9;-17,7;9.644,6;135.896,7;;;;;;;;;;;;;;;;;;;;
2021;29.207,5;-31.960,6;6.263,8;14.269,0;80,2;-17.286,4;-5.085,6;-332,7;10.187,7;144.905,4;;;;;;;;;;;;;;;;;;;;
2022;42.715,1;-35.302,9;5.802,9;15.731,0;476,2;-18.067,2;11.630,6;-48,4;15.641,7;137.233,3;;;;;;;;;;;;;;;;;;;;
2023;28.363,9;-35.608,5;5.365,0;15.416,0;43,3;-14.766,1;-2.250,1;-167,3;7.189,6;146.383,7;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;